Position (mm);Force (N);Strain (%);Time (min);largura (mm);espessura (mm)
0;-1,67;-0,002;0,00285;12,7;3,15
0;0;-0,002;0,0038;;
0,00576;0;-0,00159;0,00475;;
0,00922;0;-0,001;0,0057;;
0,0137;0;-0,000223;0,00664;;
0,0185;1,67;0,000459;0,00759;;
0,0239;1,67;0,00121;0,00854;;
0,0288;3,33;0,0018;0,00949;;
0,0342;1,67;0,00254;0,0104;;
0,0383;3,33;0,00295;0,0114;;
0,0432;3,33;0,00352;0,0123;;
0,0481;3,33;0,00409;0,0133;;
0,0529;5;0,00449;0,0142;;
0,0583;5;0,00489;0,0152;;
0,0625;5;0,00533;0,0161;;
0,0669;5;0,00582;0,0171;;
0,0722;5;0,00617;0,018;;
0,0765;5;0,0065;0,019;;
0,0819;6,67;0,00683;0,0199;;
0,0864;6,67;0,00689;0,0209;;
0,0914;6,67;0,00683;0,0218;;
0,0961;6,67;0,00683;0,0228;;
0,1;6,67;0,00683;0,0237;;
0,105;6,67;0,00683;0,0247;;
0,11;6,67;0,00683;0,0256;;
0,114;5,49;0,007;0,0266;;
0,12;5;0,00683;0,0275;;
0,124;5;0,007;0,0285;;
0,129;5;0,00717;0,0294;;
0,134;5;0,00733;0,0304;;
0,138;6,67;0,0075;0,0313;;
0,143;6,67;0,00785;0,0323;;
0,148;6,67;0,00831;0,0332;;
0,152;6,67;0,00858;0,0342;;
0,157;6,67;0,00899;0,0351;;
0,162;6,67;0,00929;0,0361;;
0,167;6,67;0,00944;0,037;;
0,172;6,67;0,0095;0,038;;
0,176;6,67;0,00975;0,0389;;
0,181;6,67;0,00991;0,0399;;
0,186;7,23;0,01;0,0408;;
0,191;8,33;0,0102;0,0418;;
0,195;8,33;0,0103;0,0427;;
0,2;6,67;0,0105;0,0437;;
0,205;6,67;0,0107;0,0446;;
0,21;7,68;0,0108;0,0455;;
0,215;6,67;0,0111;0,0465;;
0,219;6,67;0,0114;0,0474;;
0,224;8,33;0,0118;0,0484;;
0,229;8,33;0,0123;0,0493;;
0,233;8,33;0,013;0,0503;;
0,238;9,37;0,0134;0,0512;;
0,243;10;0,0139;0,0522;;
0,247;10;0,0145;0,0531;;
0,252;10;0,0148;0,0541;;
0,257;10;0,0153;0,055;;
0,262;11,7;0,0155;0,056;;
0,267;11,7;0,0158;0,0569;;
0,271;11,7;0,0163;0,0579;;
0,276;11,7;0,0166;0,0588;;
0,28;12,8;0,0169;0,0598;;
0,286;13,3;0,0172;0,0607;;
0,29;13,3;0,0175;0,0617;;
0,295;13,3;0,0178;0,0626;;
0,299;13,3;0,0181;0,0636;;
0,304;13,3;0,0184;0,0645;;
0,309;15;0,0187;0,0655;;
0,314;15;0,019;0,0664;;
0,318;15;0,0194;0,0674;;
0,323;15;0,0197;0,0683;;
0,328;15;0,02;0,0693;;
0,333;15;0,0202;0,0702;;
0,338;15;0,0205;0,0712;;
0,342;15;0,0208;0,0721;;
0,347;15;0,021;0,0731;;
0,352;16,7;0,0213;0,074;;
0,357;16,7;0,0216;0,075;;
0,362;16,7;0,0218;0,0759;;
0,366;16,7;0,022;0,0769;;
0,371;16,7;0,0223;0,0778;;
0,376;16,7;0,0226;0,0788;;
0,38;16,7;0,0228;0,0797;;
0,385;16,7;0,023;0,0807;;
0,39;16,7;0,0232;0,0816;;
0,395;18,3;0,0234;0,0826;;
0,399;16,7;0,0237;0,0835;;
0,404;18,2;0,024;0,0845;;
0,409;18,3;0,024;0,0854;;
0,414;18,3;0,0242;0,0864;;
0,418;18,3;0,0243;0,0873;;
0,423;18,3;0,0245;0,0882;;
0,428;18,3;0,0247;0,0892;;
0,433;18,3;0,0249;0,0901;;
0,437;18,3;0,025;0,0911;;
0,442;18,3;0,0253;0,092;;
0,447;18,3;0,0255;0,093;;
0,451;18,3;0,0257;0,0939;;
0,456;18,3;0,0258;0,0949;;
0,461;18,9;0,026;0,0958;;
0,465;18,3;0,0262;0,0968;;
0,47;18,3;0,0264;0,0977;;
0,475;18,3;0,0265;0,0987;;
0,48;20;0,0267;0,0996;;
0,484;20;0,0269;0,101;;
0,489;20;0,0272;0,102;;
0,494;20;0,0273;0,102;;
0,499;20;0,0275;0,103;;
0,503;20;0,0277;0,104;;
0,508;20;0,0277;0,105;;
0,513;20;0,0279;0,106;;
0,518;20;0,0282;0,107;;
0,523;21,7;0,0283;0,108;;
0,528;20,3;0,0285;0,109;;
0,532;21;0,0287;0,11;;
0,537;21,7;0,0288;0,111;;
0,542;21,7;0,029;0,112;;
0,546;21,7;0,0292;0,113;;
0,551;21,7;0,0294;0,114;;
0,555;21,7;0,0297;0,115;;
0,561;21,7;0,0298;0,116;;
0,566;21,7;0,03;0,117;;
0,57;21,7;0,0302;0,118;;
0,575;21,7;0,0305;0,119;;
0,579;23,3;0,0309;0,12;;
0,584;22,2;0,0312;0,121;;
0,589;22,4;0,0313;0,121;;
0,594;23,3;0,0315;0,122;;
0,599;23,3;0,0317;0,123;;
0,604;23,3;0,032;0,124;;
0,608;23,3;0,0323;0,125;;
0,613;23,3;0,0325;0,126;;
0,617;23,3;0,0327;0,127;;
0,622;23,3;0,033;0,128;;
0,627;24,3;0,0333;0,129;;
0,632;23,3;0,0334;0,13;;
0,636;23,3;0,0337;0,131;;
0,641;25;0,0338;0,132;;
0,646;25;0,0341;0,133;;
0,651;25;0,0344;0,134;;
0,655;25;0,0347;0,135;;
0,66;25;0,035;0,136;;
0,665;25;0,0353;0,137;;
0,67;25;0,0356;0,138;;
0,674;25,2;0,0358;0,139;;
0,679;26,7;0,0361;0,139;;
0,684;26,7;0,0363;0,14;;
0,689;26,7;0,0366;0,141;;
0,693;26,7;0,0368;0,142;;
0,698;26,7;0,037;0,143;;
0,703;26,7;0,0373;0,144;;
0,707;26,7;0,0376;0,145;;
0,712;26,7;0,0379;0,146;;
0,717;26,7;0,0382;0,147;;
0,722;28,3;0,0385;0,148;;
0,726;28,3;0,0387;0,149;;
0,731;28,3;0,039;0,15;;
0,736;28,3;0,0393;0,151;;
0,74;28,3;0,0396;0,152;;
0,746;28,3;0,0399;0,153;;
0,75;28,3;0,0403;0,154;;
0,755;28,3;0,0408;0,155;;
0,76;30;0,041;0,156;;
0,764;30;0,0413;0,157;;
0,77;30;0,0417;0,158;;
0,774;30;0,042;0,158;;
0,779;30;0,0422;0,159;;
0,783;30;0,0425;0,16;;
0,788;30;0,0428;0,161;;
0,793;31,7;0,0431;0,162;;
0,798;31,7;0,0433;0,163;;
0,803;31,7;0,0435;0,164;;
0,807;31,7;0,0438;0,165;;
0,812;31,7;0,0442;0,166;;
0,816;31,7;0,0447;0,167;;
0,822;31,7;0,0452;0,168;;
0,827;31,7;0,0455;0,169;;
0,831;31,7;0,0459;0,17;;
0,836;31,7;0,0464;0,171;;
0,84;31,7;0,0467;0,172;;
0,845;31,7;0,0472;0,173;;
0,85;31,7;0,0476;0,174;;
0,854;31,7;0,0482;0,175;;
0,86;31,7;0,0488;0,176;;
0,864;31,7;0,0493;0,176;;
0,869;33,3;0,05;0,177;;
0,874;33,3;0,0506;0,178;;
0,878;33,3;0,0512;0,179;;
0,883;33,3;0,0516;0,18;;
0,888;33,3;0,052;0,181;;
0,892;33,3;0,0524;0,182;;
0,898;33,3;0,0528;0,183;;
0,902;33,3;0,0533;0,184;;
0,907;33,3;0,0538;0,185;;
0,911;33,3;0,0544;0,186;;
0,916;33,3;0,055;0,187;;
0,921;35;0,0554;0,188;;
0,926;35;0,0561;0,189;;
0,931;35;0,0567;0,19;;
0,935;35;0,0574;0,191;;
0,94;36,7;0,0583;0,192;;
0,945;36,7;0,0594;0,193;;
0,949;38,3;0,0605;0,194;;
0,955;38,3;0,0616;0,195;;
0,959;40;0,0625;0,195;;
0,964;40,5;0,0636;0,196;;
0,968;41,7;0,0645;0,197;;
0,974;41,7;0,0654;0,198;;
0,978;42,4;0,0665;0,199;;
0,983;43,8;0,0674;0,2;;
0,988;45;0,0682;0,201;;
0,993;45;0,0689;0,202;;
0,997;46;0,0697;0,203;;
1;46,7;0,0704;0,204;;
1,01;46,7;0,0712;0,205;;
1,01;48,3;0,0718;0,206;;
1,02;48,3;0,0724;0,207;;
1,02;48,3;0,0733;0,208;;
1,03;50;0,0739;0,209;;
1,03;50;0,0746;0,21;;
1,03;50;0,0753;0,211;;
1,04;51,7;0,0759;0,212;;
1,04;52,3;0,0766;0,213;;
1,05;53,3;0,0774;0,214;;
1,05;53,3;0,0781;0,214;;
1,06;53,3;0,0788;0,215;;
1,06;53,3;0,0795;0,216;;
1,07;55;0,0801;0,217;;
1,07;55;0,0808;0,218;;
1,08;56,7;0,0815;0,219;;
1,08;56,7;0,0822;0,22;;
1,09;56,7;0,0831;0,221;;
1,09;58,3;0,0837;0,222;;
1,1;58,3;0,0846;0,223;;
1,1;60;0,0853;0,224;;
1,11;60;0,086;0,225;;
1,11;60;0,0867;0,226;;
1,12;61,7;0,0874;0,227;;
1,12;61,7;0,0882;0,228;;
1,12;63,3;0,089;0,229;;
1,13;63,3;0,0897;0,23;;
1,13;63,6;0,0905;0,231;;
1,14;65;0,0911;0,232;;
1,14;65,8;0,0919;0,232;;
1,15;66,7;0,0927;0,233;;
1,15;66,7;0,0935;0,234;;
1,16;68,3;0,0943;0,235;;
1,16;68,3;0,0951;0,236;;
1,17;68,3;0,0958;0,237;;
1,17;68,3;0,0965;0,238;;
1,18;70;0,0973;0,239;;
1,18;70;0,098;0,24;;
1,19;71,7;0,0989;0,241;;
1,19;71,7;0,0996;0,242;;
1,2;73,1;0,1;0,243;;
1,2;73,3;0,101;0,244;;
1,21;73,3;0,102;0,245;;
1,21;75;0,103;0,246;;
1,22;75;0,104;0,247;;
1,22;76,7;0,105;0,248;;
1,23;76,7;0,106;0,249;;
1,23;77,8;0,107;0,25;;
1,23;78,3;0,108;0,251;;
1,24;78,3;0,109;0,251;;
1,24;80;0,109;0,252;;
1,25;80;0,11;0,253;;
1,25;81,7;0,111;0,254;;
1,26;81,7;0,112;0,255;;
1,26;81,7;0,113;0,256;;
1,27;83,3;0,114;0,257;;
1,27;84,6;0,115;0,258;;
1,28;85;0,116;0,259;;
1,28;86,7;0,117;0,26;;
1,29;86,7;0,118;0,261;;
1,29;86,7;0,119;0,262;;
1,3;88,3;0,12;0,263;;
1,3;88,3;0,121;0,264;;
1,31;88,3;0,122;0,265;;
1,31;90;0,123;0,266;;
1,31;91,5;0,124;0,267;;
1,32;91,7;0,125;0,268;;
1,32;93,3;0,126;0,269;;
1,33;93,3;0,127;0,269;;
1,33;93,3;0,128;0,27;;
1,34;95;0,129;0,271;;
