strain2;Position (mm);Force (N);Strain (%);Time (min);Tensao
#VALOR!;0,00;0,00;-0,000167;0,00368;
#VALOR!;0,00204;1,73;0,00118;0,00681;
#VALOR!;0,00600;3,72;0,00250;0,00994;
#VALOR!;0,00900;5,00;0,00337;0,0131;
#VALOR!;0,0120;5,00;0,00427;0,0162;
#VALOR!;0,0150;6,67;0,00517;0,0193;
#VALOR!;0,0185;6,67;0,00591;0,0225;
#VALOR!;0,0215;8,33;0,00659;0,0256;
#VALOR!;0,0246;6,67;0,00667;0,0287;
#VALOR!;0,0280;8,33;0,00743;0,0318;
#VALOR!;0,0310;8,33;0,00808;0,0350;
#VALOR!;0,0340;8,33;0,00861;0,0381;
#VALOR!;0,0370;8,33;0,00900;0,0412;
#VALOR!;0,0408;8,33;0,00933;0,0444;
#VALOR!;0,0438;8,33;0,00950;0,0475;
#VALOR!;0,0468;10,0;0,00967;0,0506;
#VALOR!;0,0499;10,0;0,00983;0,0538;
#VALOR!;0,0530;9,76;0,0100;0,0569;
#VALOR!;0,0560;10,0;0,0102;0,0600;
#VALOR!;0,0590;10,0;0,0103;0,0631;
#VALOR!;0,0621;10,0;0,0105;0,0663;
#VALOR!;0,0651;10,0;0,0108;0,0694;
#VALOR!;0,0681;10,0;0,0108;0,0725;
#VALOR!;0,0720;10,0;0,0110;0,0757;
#VALOR!;0,0750;10,0;0,0112;0,0788;
#VALOR!;0,0780;10,0;0,0113;0,0819;
#VALOR!;0,0810;10,0;0,0114;0,0850;
#VALOR!;0,0840;10,0;0,0115;0,0882;
#VALOR!;0,0870;10,0;0,0117;0,0913;
#VALOR!;0,0901;8,49;0,0117;0,0944;
#VALOR!;0,0931;10,0;0,0118;0,0976;
#VALOR!;0,0970;10,0;0,0120;0,101;
#VALOR!;0,100;10,0;0,0120;0,104;
#VALOR!;0,103;10,0;0,0122;0,107;
#VALOR!;0,106;10,0;0,0122;0,110;
#VALOR!;0,109;10,0;0,0123;0,113;
#VALOR!;0,112;10,0;0,0125;0,116;
#VALOR!;0,115;10,0;0,0125;0,119;
#VALOR!;0,119;10,0;0,0127;0,123;
#VALOR!;0,122;10,0;0,0127;0,126;
#VALOR!;0,125;10,0;0,0128;0,129;
#VALOR!;0,128;10,0;0,0128;0,132;
#VALOR!;0,131;10,0;0,0130;0,135;
#VALOR!;0,134;11,0;0,0130;0,138;
#VALOR!;0,137;10,0;0,0132;0,141;
#VALOR!;0,140;11,1;0,0133;0,145;
#VALOR!;0,143;10,0;0,0135;0,148;
#VALOR!;0,146;11,7;0,0136;0,151;
#VALOR!;0,150;11,7;0,0137;0,154;
#VALOR!;0,153;11,7;0,0138;0,157;
#VALOR!;0,156;11,7;0,0140;0,160;
#VALOR!;0,159;11,7;0,0142;0,163;
#VALOR!;0,162;11,7;0,0142;0,166;
#VALOR!;0,165;11,7;0,0143;0,170;
#VALOR!;0,169;11,7;0,0143;0,173;
#VALOR!;0,172;11,7;0,0145;0,176;
#VALOR!;0,175;11,7;0,0145;0,179;
#VALOR!;0,178;11,7;0,0147;0,182;
#VALOR!;0,181;11,7;0,0147;0,185;
#VALOR!;0,184;12,4;0,0148;0,188;
#VALOR!;0,187;11,7;0,0148;0,191;
#VALOR!;0,191;11,7;0,0150;0,195;
#VALOR!;0,194;11,7;0,0150;0,198;
#VALOR!;0,197;11,7;0,0150;0,201;
#VALOR!;0,200;11,7;0,0150;0,204;
#VALOR!;0,203;13,3;0,0150;0,207;
#VALOR!;0,206;13,3;0,0152;0,210;
#VALOR!;0,209;12,0;0,0152;0,213;
#VALOR!;0,213;13,0;0,0153;0,216;
#VALOR!;0,216;12,9;0,0153;0,220;
#VALOR!;0,219;13,3;0,0155;0,223;
#VALOR!;0,222;11,7;0,0157;0,226;
#VALOR!;0,225;13,3;0,0157;0,229;
#VALOR!;0,228;13,3;0,0158;0,232;
#VALOR!;0,231;13,3;0,0160;0,235;
#VALOR!;0,234;13,3;0,0162;0,238;
#VALOR!;0,238;13,3;0,0165;0,242;
#VALOR!;0,241;13,3;0,0165;0,245;
#VALOR!;0,244;15,0;0,0167;0,248;
#VALOR!;0,247;15,0;0,0168;0,251;
#VALOR!;0,250;15,0;0,0170;0,254;
#VALOR!;0,253;15,0;0,0172;0,257;
#VALOR!;0,256;15,0;0,0173;0,260;
#VALOR!;0,259;15,0;0,0176;0,263;
#VALOR!;0,262;16,7;0,0177;0,267;
#VALOR!;0,265;16,7;0,0178;0,270;
#VALOR!;0,269;16,7;0,0180;0,273;
#VALOR!;0,272;16,7;0,0182;0,276;
#VALOR!;0,275;16,7;0,0183;0,279;
#VALOR!;0,278;16,7;0,0185;0,282;
#VALOR!;0,282;16,7;0,0185;0,285;
#VALOR!;0,285;16,7;0,0187;0,288;
#VALOR!;0,288;16,7;0,0188;0,292;
#VALOR!;0,291;16,7;0,0190;0,295;
#VALOR!;0,294;18,3;0,0190;0,298;
#VALOR!;0,297;18,3;0,0192;0,301;
#VALOR!;0,300;18,3;0,0193;0,304;
#VALOR!;0,303;18,3;0,0195;0,307;
#VALOR!;0,306;18,3;0,0195;0,310;
#VALOR!;0,309;18,3;0,0197;0,313;
#VALOR!;0,312;18,3;0,0197;0,317;
#VALOR!;0,316;18,3;0,0198;0,320;
#VALOR!;0,319;20,0;0,0200;0,323;
#VALOR!;0,322;20,0;0,0200;0,326;
#VALOR!;0,325;19,1;0,0201;0,329;
#VALOR!;0,328;20,0;0,0202;0,332;
#VALOR!;0,332;20,0;0,0202;0,335;
#VALOR!;0,335;20,0;0,0203;0,339;
#VALOR!;0,338;20,0;0,0205;0,342;
#VALOR!;0,341;20,0;0,0205;0,345;
#VALOR!;0,344;20,0;0,0206;0,348;
#VALOR!;0,347;20,0;0,0207;0,351;
#VALOR!;0,350;20,0;0,0207;0,354;
#VALOR!;0,353;20,0;0,0207;0,357;
#VALOR!;0,356;20,3;0,0208;0,360;
#VALOR!;0,359;20,0;0,0209;0,364;
#VALOR!;0,362;21,1;0,0210;0,367;
#VALOR!;0,366;21,7;0,0210;0,370;
#VALOR!;0,369;21,7;0,0212;0,373;
#VALOR!;0,372;21,7;0,0212;0,376;
#VALOR!;0,375;21,7;0,0213;0,379;
#VALOR!;0,378;21,7;0,0213;0,382;
#VALOR!;0,381;21,7;0,0213;0,385;
#VALOR!;0,385;21,7;0,0215;0,389;
#VALOR!;0,388;21,7;0,0215;0,392;
#VALOR!;0,391;21,7;0,0215;0,395;
#VALOR!;0,394;21,7;0,0217;0,398;
#VALOR!;0,397;21,7;0,0217;0,401;
#VALOR!;0,400;22,5;0,0217;0,404;
#VALOR!;0,404;22,6;0,0218;0,407;
#VALOR!;0,406;23,3;0,0218;0,411;
#VALOR!;0,409;23,3;0,0218;0,414;
#VALOR!;0,413;23,3;0,0220;0,417;
#VALOR!;0,416;21,7;0,0220;0,420;
#VALOR!;0,419;23,3;0,0220;0,423;
#VALOR!;0,422;23,3;0,0220;0,426;
#VALOR!;0,425;23,3;0,0222;0,429;
#VALOR!;0,428;23,3;0,0222;0,432;
#VALOR!;0,431;23,3;0,0222;0,436;
#VALOR!;0,435;23,3;0,0223;0,439;
#VALOR!;0,438;23,3;0,0223;0,442;
#VALOR!;0,441;23,3;0,0223;0,445;
#VALOR!;0,444;23,8;0,0223;0,448;
#VALOR!;0,447;24,1;0,0225;0,451;
#VALOR!;0,450;23,3;0,0225;0,454;
#VALOR!;0,454;25,0;0,0225;0,457;
#VALOR!;0,457;25,0;0,0227;0,461;
#VALOR!;0,460;25,0;0,0227;0,464;
#VALOR!;0,463;25,0;0,0228;0,467;
#VALOR!;0,466;25,0;0,0228;0,470;
#VALOR!;0,469;25,0;0,0230;0,473;
#VALOR!;0,472;26,2;0,0230;0,476;
#VALOR!;0,475;26,2;0,0230;0,479;
#VALOR!;0,479;26,7;0,0232;0,482;
#VALOR!;0,482;26,7;0,0232;0,486;
#VALOR!;0,485;26,7;0,0233;0,489;
#VALOR!;0,488;26,7;0,0233;0,492;
#VALOR!;0,491;26,7;0,0235;0,495;
#VALOR!;0,494;26,7;0,0235;0,498;
#VALOR!;0,497;26,7;0,0235;0,501;
#VALOR!;0,500;26,7;0,0237;0,504;
#VALOR!;0,504;26,7;0,0237;0,508;
#VALOR!;0,507;28,3;0,0238;0,511;
#VALOR!;0,510;28,3;0,0238;0,514;
#VALOR!;0,513;28,3;0,0240;0,517;
#VALOR!;0,516;26,7;0,0240;0,520;
#VALOR!;0,519;28,3;0,0240;0,523;
#VALOR!;0,522;28,3;0,0240;0,526;
#VALOR!;0,525;28,3;0,0240;0,529;
#VALOR!;0,529;28,3;0,0240;0,533;
#VALOR!;0,532;28,3;0,0242;0,536;
#VALOR!;0,535;28,3;0,0242;0,539;
#VALOR!;0,538;28,3;0,0242;0,542;
#VALOR!;0,541;28,3;0,0243;0,545;
#VALOR!;0,544;28,3;0,0243;0,548;
#VALOR!;0,547;28,3;0,0243;0,551;
#VALOR!;0,551;28,3;0,0244;0,554;
#VALOR!;0,554;28,3;0,0245;0,558;
#VALOR!;0,557;30,0;0,0247;0,561;
#VALOR!;0,560;30,0;0,0247;0,564;
#VALOR!;0,563;30,0;0,0247;0,567;
#VALOR!;0,566;30,0;0,0248;0,570;
#VALOR!;0,569;30,0;0,0248;0,573;
#VALOR!;0,572;30,0;0,0250;0,576;
#VALOR!;0,576;30,0;0,0250;0,579;
#VALOR!;0,579;30,0;0,0252;0,583;
#VALOR!;0,582;30,0;0,0253;0,586;
#VALOR!;0,585;31,7;0,0255;0,589;
#VALOR!;0,588;31,7;0,0257;0,592;
#VALOR!;0,591;31,7;0,0258;0,595;
#VALOR!;0,594;31,7;0,0260;0,598;
#VALOR!;0,597;31,7;0,0260;0,601;
#VALOR!;0,600;31,7;0,0260;0,605;
#VALOR!;0,603;31,7;0,0262;0,608;
#VALOR!;0,607;32,6;0,0263;0,611;
#VALOR!;0,610;31,7;0,0263;0,614;
#VALOR!;0,613;33,3;0,0263;0,617;
#VALOR!;0,616;33,3;0,0265;0,620;
#VALOR!;0,619;33,3;0,0265;0,623;
#VALOR!;0,622;33,3;0,0265;0,626;
#VALOR!;0,626;33,3;0,0267;0,630;
#VALOR!;0,629;33,3;0,0267;0,633;
#VALOR!;0,632;33,3;0,0267;0,636;
#VALOR!;0,635;33,3;0,0267;0,639;
#VALOR!;0,638;33,3;0,0268;0,642;
#VALOR!;0,641;33,3;0,0268;0,645;
#VALOR!;0,644;33,3;0,0268;0,648;
#VALOR!;0,647;33,3;0,0268;0,651;
#VALOR!;0,650;33,3;0,0268;0,655;
#VALOR!;0,653;33,3;0,0270;0,658;
#VALOR!;0,657;35,0;0,0270;0,661;
#VALOR!;0,660;33,3;0,0270;0,664;
#VALOR!;0,663;35,0;0,0270;0,667;
#VALOR!;0,666;34,1;0,0270;0,670;
#VALOR!;0,669;35,0;0,0272;0,673;
#VALOR!;0,673;35,0;0,0273;0,677;
#VALOR!;0,675;35,0;0,0273;0,680;
#VALOR!;0,679;35,0;0,0275;0,683;
#VALOR!;0,682;35,7;0,0277;0,686;
#VALOR!;0,685;36,7;0,0278;0,689;
#VALOR!;0,688;36,7;0,0280;0,692;
#VALOR!;0,691;36,7;0,0280;0,695;
#VALOR!;0,695;36,7;0,0282;0,698;
#VALOR!;0,698;36,7;0,0282;0,702;
#VALOR!;0,701;36,7;0,0283;0,705;
#VALOR!;0,704;37,0;0,0285;0,708;
#VALOR!;0,707;38,3;0,0287;0,711;
#VALOR!;0,710;38,3;0,0287;0,714;
#VALOR!;0,713;38,3;0,0290;0,717;
#VALOR!;0,716;40,0;0,0293;0,720;
#VALOR!;0,719;40,0;0,0300;0,723;
#VALOR!;0,722;40,0;0,0307;0,727;
#VALOR!;0,726;41,7;0,0314;0,730;
#VALOR!;0,729;41,7;0,0320;0,733;
#VALOR!;0,732;43,3;0,0327;0,736;
#VALOR!;0,735;43,3;0,0332;0,739;
#VALOR!;0,738;43,3;0,0338;0,742;
#VALOR!;0,741;45,0;0,0342;0,745;
#VALOR!;0,744;45,0;0,0349;0,748;
#VALOR!;0,747;45,0;0,0353;0,752;
#VALOR!;0,750;46,7;0,0358;0,755;
#VALOR!;0,754;46,7;0,0363;0,758;
#VALOR!;0,757;47,5;0,0368;0,761;
